t_A,t_B,geodesic_d,nss_audience,nss_inputs,nss_outputs,nss_mode,nss_assumption_set,nss_adjacent_problems,nss_failure_modes,nss_lifecycle,nss_composition,nss_knowledge_sources,nss_calibration,nss_recursion,nss_total,drift_score,flagged,flag_reason
0.869565,0.613065,0.870786,0,2,0,0,0,0,0,0,0,3,0,1,6,5.398912,true,strict_AND
0.782609,0.613065,0.721714,0,2,0,0,0,0,0,0,0,3,0,1,6,4.474661,true,topN_rank2
0.956522,0.271357,0.839142,0,1,0,2,0,0,0,0,0,1,0,1,5,4.335602,true,topN_rank3
0.652174,0.683417,0.410888,1,0,3,2,0,0,0,1,0,1,0,1,9,3.821291,true,topN_rank4
0.826087,0.613065,0.589514,0,2,0,0,0,0,0,0,0,3,0,1,6,3.655016,true,topN_rank5
0.478261,0.562814,0.789448,0,1,1,0,0,0,0,0,0,2,0,0,4,3.263075,true,topN_rank6
0.913043,0.623116,0.967735,0,0,1,0,0,0,1,0,0,1,0,0,3,3.000000,true,topN_rank7
0.173913,0.577889,0.443365,0,2,0,0,0,0,0,0,0,2,0,0,4,1.832589,true,topN_rank8
0.521739,0.562814,0.856838,0,0,1,0,0,0,0,0,0,1,0,0,2,1.770811,true,topN_rank9
0.434783,0.562814,0.827609,0,0,1,0,0,0,0,0,0,1,0,0,2,1.710404,true,topN_rank10
0.043478,0.577889,0.395273,0,2,0,0,0,0,0,0,0,2,0,0,4,1.633809,false,
0.695652,0.472362,0.214156,0,1,0,0,0,0,2,0,0,3,0,1,7,1.549076,false,
0.086957,0.577889,0.308960,0,2,0,0,0,0,0,0,0,2,0,0,4,1.277044,false,
1.000000,0.562814,0.382416,0,0,1,0,0,0,0,0,0,1,0,1,3,1.185499,false,
0.130435,0.572864,0.356468,0,0,0,0,1,0,0,0,0,2,0,0,3,1.105060,false,
0.739130,0.256281,0.160189,0,1,0,2,0,0,0,0,0,1,0,2,6,0.993179,false,
0.217391,0.572864,0.302443,0,0,0,0,1,0,0,0,0,2,0,0,3,0.937579,false,
0.565217,0.437186,0.809191,0,0,0,0,0,0,0,0,0,1,0,0,1,0.836170,false,
0.000000,0.562814,0.382416,0,0,1,0,0,0,0,0,0,1,0,0,2,0.790332,false,
0.608696,0.472362,0.130074,0,1,0,0,0,0,0,0,0,3,0,1,5,0.672055,false,
0.260870,0.567839,0.304965,0,0,1,0,0,0,0,0,0,1,0,0,2,0.630266,false,
0.304348,0.567839,0.175086,0,0,1,0,0,0,0,0,0,1,0,0,2,0.361847,false,
0.391304,0.562814,0.168498,0,0,1,0,0,0,0,0,0,1,0,0,2,0.348232,false,
0.347826,0.552764,0.065405,1,1,0,0,0,0,0,0,0,1,0,0,3,0.202757,false,
