axis,has_problem_statement,has_recommendation,has_evidence,has_cross_reference,has_verification_plan,has_source_citation,has_priority_signal,size_lt3k,size_3to6k,size_6to12k,size_12to25k,size_ge25k,t,residual
has_problem_statement,+1.0000,+0.1237,+0.1877,+0.1165,+0.3917,-0.0518,+0.1947,-0.0451,-0.1805,+0.1186,-0.0372,+0.1299,+0.4405,+0.0497
has_recommendation,+0.1237,+1.0000,+0.2831,+0.0222,+0.2976,-0.1786,+0.3345,-0.0619,-0.3173,-0.1803,+0.4469,+0.0496,+0.7207,-0.0838
has_evidence,+0.1877,+0.2831,+1.0000,-0.1245,+0.1167,-0.1910,+0.1950,+0.0408,-0.1133,-0.2030,+0.2536,+0.1106,+0.4925,+0.1113
has_cross_reference,+0.1165,+0.0222,-0.1245,+1.0000,-0.0503,+0.0253,+0.0503,-0.1541,-0.0278,+0.1166,-0.1039,+0.0572,-0.0000,-0.5429
has_verification_plan,+0.3917,+0.2976,+0.1167,-0.0503,+1.0000,-0.2224,+0.1753,-0.0419,-0.2148,-0.0971,+0.2609,+0.0622,+0.5816,-0.2128
has_source_citation,-0.0518,-0.1786,-0.1910,+0.0253,-0.2224,+1.0000,-0.3287,-0.1274,-0.1269,+0.0998,-0.0262,+0.0919,-0.6158,+0.1421
has_priority_signal,+0.1947,+0.3345,+0.1950,+0.0503,+0.1753,-0.3287,+1.0000,+0.0419,-0.1554,-0.1014,+0.1750,+0.1135,+0.6276,+0.0870
size_lt3k,-0.0451,-0.0619,+0.0408,-0.1541,-0.0419,-0.1274,+0.0419,+1.0000,-0.0397,-0.0841,-0.0566,-0.0210,+0.0193,+0.1862
size_3to6k,-0.1805,-0.3173,-0.1133,-0.0278,-0.2148,-0.1269,-0.1554,-0.0397,+1.0000,-0.4310,-0.2901,-0.1077,-0.2350,-0.0257
size_6to12k,+0.1186,-0.1803,-0.2030,+0.1166,-0.0971,+0.0998,-0.1014,-0.0841,-0.4310,+1.0000,-0.6137,-0.2278,-0.1765,-0.0596
size_12to25k,-0.0372,+0.4469,+0.2536,-0.1039,+0.2609,-0.0262,+0.1750,-0.0566,-0.2901,-0.6137,+1.0000,-0.1533,+0.3455,-0.0210
size_ge25k,+0.1299,+0.0496,+0.1106,+0.0572,+0.0622,+0.0919,+0.1135,-0.0210,-0.1077,-0.2278,-0.1533,+1.0000,+0.0774,+0.1449
t,+0.4405,+0.7207,+0.4925,-0.0000,+0.5816,-0.6158,+0.6276,+0.0193,-0.2350,-0.1765,+0.3455,+0.0774,+1.0000,-0.0835
residual,+0.0497,-0.0838,+0.1113,-0.5429,-0.2128,+0.1421,+0.0870,+0.1862,-0.0257,-0.0596,-0.0210,+0.1449,-0.0835,+1.0000
