axis,has_purpose,has_sha,has_pr_ref,has_linear_ref,has_state_progression,has_author,has_cross_corpus_link,has_evidence,has_temporal_anchor,kind_PR,kind_Issue,kind_Commit,kind_Release,kind_Linear,t,residual
has_purpose,+1.0000,+0.1735,+0.4017,+0.0265,+0.1065,+nan,+0.0876,+0.2051,+0.2254,+0.3998,+0.0788,-0.1697,+0.3290,-0.2955,-0.5841,+0.2180
has_sha,+0.1735,+1.0000,+0.2537,-0.0503,+0.3542,+nan,+0.1186,+0.0319,+0.0925,+0.0455,+0.4412,-0.1587,-0.0630,-0.1166,-0.2461,+0.2484
has_pr_ref,+0.4017,+0.2537,+1.0000,+0.0228,+0.3490,+nan,+0.3651,+0.1605,+0.2911,+0.2210,+0.0761,-0.2045,+0.3260,-0.1425,-0.6473,+0.1593
has_linear_ref,+0.0265,-0.0503,+0.0228,+1.0000,+0.0112,+nan,+0.4202,-0.0567,-0.0544,-0.1400,-0.1645,-0.1886,+0.0969,+0.3237,+0.0325,+0.0613
has_state_progression,+0.1065,+0.3542,+0.3490,+0.0112,+1.0000,+nan,+0.0669,+0.0205,+0.0822,+0.0163,+0.2461,-0.1139,-0.0818,-0.0149,-0.2622,+0.3728
has_author,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
has_cross_corpus_link,+0.0876,+0.1186,+0.3651,+0.4202,+0.0669,+nan,+1.0000,+0.1288,+0.1667,-0.0786,-0.0691,-0.1420,+0.0917,+0.1853,-0.2898,+0.1272
has_evidence,+0.2051,+0.0319,+0.1605,-0.0567,+0.0205,+nan,+0.1288,+1.0000,+0.4960,+0.2241,+0.0313,+0.0430,-0.0548,-0.1823,-0.6784,+0.0436
has_temporal_anchor,+0.2254,+0.0925,+0.2911,-0.0544,+0.0822,+nan,+0.1667,+0.4960,+1.0000,+0.3358,-0.1164,+0.2164,-0.1285,-0.2976,-0.8064,-0.2265
kind_PR,+0.3998,+0.0455,+0.2210,-0.1400,+0.0163,+nan,-0.0786,+0.2241,+0.3358,+1.0000,-0.1203,-0.2472,-0.0843,-0.3186,-0.4123,-0.0306
kind_Issue,+0.0788,+0.4412,+0.0761,-0.1645,+0.2461,+nan,-0.0691,+0.0313,-0.1164,-0.1203,+1.0000,-0.2173,-0.0741,-0.2802,-0.0329,+0.1637
kind_Commit,-0.1697,-0.1587,-0.2045,-0.1886,-0.1139,+nan,-0.1420,+0.0430,+0.2164,-0.2472,-0.2173,+1.0000,-0.1523,-0.5755,+0.0056,-0.0079
kind_Release,+0.3290,-0.0630,+0.3260,+0.0969,-0.0818,+nan,+0.0917,-0.0548,-0.1285,-0.0843,-0.0741,-0.1523,+1.0000,-0.1963,-0.1017,+0.0723
kind_Linear,-0.2955,-0.1166,-0.1425,+0.3237,-0.0149,+nan,+0.1853,-0.1823,-0.2976,-0.3186,-0.2802,-0.5755,-0.1963,+1.0000,+0.3302,-0.1016
t,-0.5841,-0.2461,-0.6473,+0.0325,-0.2622,+nan,-0.2898,-0.6784,-0.8064,-0.4123,-0.0329,+0.0056,-0.1017,+0.3302,+1.0000,-0.0504
residual,+0.2180,+0.2484,+0.1593,+0.0613,+0.3728,+nan,+0.1272,+0.0436,-0.2265,-0.0306,+0.1637,-0.0079,+0.0723,-0.1016,-0.0504,+1.0000
