axis,attestation,audit_evidence,continuous_adaptive,cryptographic_identity,declarative_policy,immutability,least_privilege,segmentation,trust_chain,audience,inputs,outputs,mode,assumption_set,adjacent_problems,failure_modes,lifecycle,composition,knowledge_sources,calibration,recursion,cycle,delta,FIRES
attestation,+1.0000,+0.5002,+0.2376,+0.3137,+0.4640,+0.5271,+0.4713,+0.3383,+0.5674,-0.2992,+0.0252,+0.0148,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.2136,+0.1918,-0.1931,-0.2302
audit_evidence,+0.5002,+1.0000,+0.2047,+0.3376,+0.4681,+0.4256,+0.3716,+0.1930,+0.3303,-0.1876,+0.0310,-0.4623,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.0229,+0.1651,-0.2729,-0.2831
continuous_adaptive,+0.2376,+0.2047,+1.0000,+0.3329,+0.3517,+0.1251,+0.4029,+0.1867,+0.2934,-0.3001,+0.0898,+0.0529,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.1313,+0.4782,-0.8122,-0.8212
cryptographic_identity,+0.3137,+0.3376,+0.3329,+1.0000,+0.1755,+0.3404,+0.5627,+0.4896,+0.4491,-0.6217,+0.0583,-0.2372,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.3522,+0.1200,-0.5610,-0.5333
declarative_policy,+0.4640,+0.4681,+0.3517,+0.1755,+1.0000,+0.2330,+0.3279,+0.2152,+0.2660,-0.0713,+0.0209,-0.1845,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.0508,+0.3850,-0.4918,-0.4960
immutability,+0.5271,+0.4256,+0.1251,+0.3404,+0.2330,+1.0000,+0.3727,+0.1708,+0.3706,-0.3257,+0.0235,+0.0139,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+0.0306,+0.1485,-0.1962,-0.2151
least_privilege,+0.4713,+0.3716,+0.4029,+0.5627,+0.3279,+0.3727,+1.0000,+0.6724,+0.6070,-0.4552,+0.0534,-0.1148,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.2994,+0.2825,-0.5396,-0.4883
segmentation,+0.3383,+0.1930,+0.1867,+0.4896,+0.2152,+0.1708,+0.6724,+1.0000,+0.4896,-0.2147,+0.0359,-0.1878,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.4803,+0.1778,-0.3883,-0.3284
trust_chain,+0.5674,+0.3303,+0.2934,+0.4491,+0.2660,+0.3706,+0.6070,+0.4896,+1.0000,-0.3667,+0.0045,-0.0599,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.2317,+0.2930,-0.4235,-0.4057
audience,-0.2992,-0.1876,-0.3001,-0.6217,-0.0713,-0.3257,-0.4552,-0.2147,-0.3667,+1.0000,+0.0471,-0.0396,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+0.3016,-0.0000,+0.3629,+0.3536
inputs,+0.0252,+0.0310,+0.0898,+0.0583,+0.0209,+0.0235,+0.0534,+0.0359,+0.0045,+0.0471,+1.0000,-0.0218,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.0480,+0.0000,-0.0711,-0.0688
outputs,+0.0148,-0.4623,+0.0529,-0.2372,-0.1845,+0.0139,-0.1148,-0.1878,-0.0599,-0.0396,-0.0218,+1.0000,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,-0.0283,-0.0000,+0.1356,+0.1111
mode,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
assumption_set,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
adjacent_problems,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
failure_modes,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
lifecycle,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
composition,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
knowledge_sources,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
calibration,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan
recursion,-0.2136,-0.0229,-0.1313,-0.3522,-0.0508,+0.0306,-0.2994,-0.4803,-0.2317,+0.3016,-0.0480,-0.0283,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+nan,+1.0000,+0.0000,+0.2111,+0.1899
