slug,corpus,cycle,k,attestation,trust_chain,least_privilege,declarative_policy,continuous_adaptive,immutability,audit_evidence,cryptographic_identity,segmentation,s2_x,s2_y,s2_z,gap,collision_class_id,collision_class_size
0pointer-mastery,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
api-and-interface-design,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
arm-trusted-firmware-optee,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
ascii-uart-animator,skills,1,1,0,0,0,0,0,0,0,0,1,-0.5799792611303837,-0.13299044262204365,0.8037024317680314,1.2544535294548387,2,10
audit-evidence-packaging,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
bcvk-virtualization,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
bootc-images,skills,1,7,1,0,1,1,0,1,1,1,1,0.7224690877747492,0.5600626287125012,0.4054235675556674,0.7489024535688446,3,4
browser-testing-with-devtools,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
ci-cd-and-automation,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
code-review-and-quality,skills,1,6,1,1,0,0,0,1,1,1,1,0.39960424564710456,0.8949661516850658,0.19837347150975704,1.1717790726717134,5,8
code-simplification,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
composefs-kernel-floors,skills,1,5,1,1,0,0,0,1,0,1,1,-0.2085222948952097,0.8929814207387285,-0.3988767162257997,1.7505329472960658,6,3
context-engineering,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
context-isolation,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
curve-guided-rsi,skills,1,8,1,0,1,1,1,1,1,1,1,0.7947194026353714,-0.25857619911500074,0.5491442618530378,0.2642302410308264,7,4
curve-guided-rsi-self,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
debug-with-cli,skills,1,2,0,0,0,0,0,0,0,1,1,-0.6209092783532462,-0.2758883831174276,0.733728334000877,1.3034789348799105,8,1
debugging-and-error-recovery,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
deprecation-and-migration,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
dm-verity-and-integrity,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-bake-action,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
docker-build-policy,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
docker-build-push-action,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-buildx-rootless,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
docker-login-action,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-metadata-action,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-setup-buildx-action,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
docker-setup-qemu-action,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
documentation-and-adrs,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
doubt-driven-development,skills,1,7,1,1,0,1,0,1,1,1,1,0.5435009284695719,0.6279280210776734,0.5570575743118392,0.7712058590257441,10,12
drm-gpu-quota-secure-time,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
fedora-bootc-base-images,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
frontend-ui-engineering,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ftpm-optee-tpm,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
git-workflow-and-versioning,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
github-actions,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
github-api,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
github-stacked-pull-requests,skills,1,8,1,0,1,1,1,1,1,1,1,0.7947194026353714,-0.25857619911500074,0.5491442618530378,0.2642302410308264,7,4
human-for-feasibility,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
hyperspherical-harmonic-curve,skills,1,3,1,0,0,0,1,1,0,0,0,-0.8434099576435081,-0.19923506482206293,0.49896395891198814,1.5359007081453724,11,1
idea-kill,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
idea-refine,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
ideate-solo,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
incremental-implementation,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
internal-big-picture,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
internal-nonlex-tokens,skills,1,2,0,0,0,0,0,1,1,0,0,-0.70459894840369,0.15915149121028607,0.6915281084337472,1.4038809400913945,12,6
interview-me,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
learned-latent-curve,skills,1,8,1,0,1,1,1,1,1,1,1,0.7947194026353714,-0.25857619911500074,0.5491442618530378,0.2642302410308264,7,4
linkedin-browser-outreach,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
mkosi-image-builder,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
negative-skill-space,skills,1,4,1,0,0,1,1,0,1,0,0,-0.9974448650064316,-0.05470489404779062,0.04594688062884926,1.8059697770618612,13,3
novelty-indication,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
nspawn-containers,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
observability-and-instrumentation,skills,1,8,1,1,0,1,1,1,1,1,1,0.8534195348345276,-0.04705471713129655,0.5190962831291628,0.28688098627055947,14,1
performance-optimization,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
